label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,d4,d18,d9,d12,d23,d1,d3,d17,d24,d13,d6,d15,d7,d26,d16,d20,d2,d10,d25,d14,d21,d5,d19,d22,d8,d11
0,1,286,25,9,1452,46,35,38,329,0,12,27,9,332127.0,3283.0,2.0,5696581.0,14.0,31.0,6340754.0,6.0,142078.0,1259.0,23.0,1349.0,3494.0,138944.0,1134472.0,3.0,25.0,21414.0,15.0,18.0,5374109.0,43.0,275.0,12.0,24.0,3712.0
1,18,2,33,18,18,3,269,27,1000,2,30,0,2,965392.0,952.0,2.0,7375584.0,2.0,31.0,5268016.0,9.0,199123.0,1156.0,6.0,4175.0,1420.0,0.0,4073211.0,0.0,130.0,84511.0,0.0,18.0,1931703.0,109.0,0.0,0.0,24.0,2614.0
0,4,351,-9999,4,1179,8,5,8,12,1,2,-9999,4,410248.0,1959.0,2.0,65661.0,2.0,629.0,5469355.0,9.0,53522.0,1186.0,0.0,4836.0,12200.0,37294.0,632277.0,3.0,27.0,19148.0,89.0,18.0,1058802.0,43.0,275.0,0.0,24.0,1984.0
0,27,22,6,7,468,7,100,7,30,2,6,0,7,123211.0,5114.0,2.0,7440085.0,10.0,31.0,4996590.0,9.0,92798.0,1052.0,10.0,14242.0,704.0,13147.0,4452045.0,3.0,70.0,67231.0,77.0,4.0,2453635.0,109.0,237.0,0.0,24.0,1680.0
0,-9999,79,8,30,31,51,20,39,51,-9999,1,0,21,134261.0,5125.0,2.0,4818700.0,3.0,31.0,8865344.0,9.0,160406.0,1311.0,23.0,8933.0,5154.0,0.0,2298127.0,0.0,389.0,63989.0,0.0,20.0,5996562.0,43.0,0.0,0.0,610.0,4634.0
1,5,286,16,12,21,9,5,12,12,2,2,-9999,9,920329.0,2202.0,2.0,3698356.0,4.0,539.0,1853067.0,9.0,280854.0,2344.0,21.0,10911.0,10650.0,58237.0,4066202.0,3.0,456.0,74182.0,92.0,2.0,1440285.0,43.0,275.0,0.0,24.0,445.0
1,-9999,3,-9999,-9999,5486,76,4,32,151,-9999,2,-9999,-9999,2143590.0,2723.0,2.0,6055802.0,2.0,31.0,1763265.0,6.0,200219.0,708.0,0.0,994.0,1018.0,0.0,2894619.0,0.0,346.0,68598.0,0.0,18.0,4533547.0,43.0,0.0,0.0,130.0,3520.0
0,-9999,-1,-9999,-9999,157809,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,864180.0,5155.0,2.0,4976931.0,2.0,629.0,1848705.0,8.0,161785.0,1279.0,9.0,14511.0,12125.0,0.0,1201801.0,0.0,102.0,90278.0,0.0,18.0,6302831.0,92.0,0.0,0.0,24.0,4704.0
1,-9999,-1,-9999,0,1,-9999,0,0,0,-9999,0,-9999,0,1432636.0,5503.0,2.0,1866143.0,2.0,31.0,3844725.0,1.0,275967.0,2955.0,0.0,9884.0,7644.0,0.0,3806317.0,0.0,130.0,17807.0,0.0,18.0,1168749.0,43.0,0.0,0.0,8.0,3739.0
0,0,15,28,19,5535,357,2,42,174,0,1,-9999,28,357366.0,854.0,2.0,3479589.0,2.0,31.0,7396890.0,0.0,200219.0,675.0,23.0,2667.0,5538.0,0.0,3760247.0,0.0,155.0,36106.0,0.0,18.0,3142635.0,109.0,0.0,0.0,80.0,5107.0
1,-9999,351,2,2,2070,2,17,2,13,-9999,6,-9999,2,534831.0,3617.0,2.0,1097525.0,2.0,31.0,1770943.0,9.0,26164.0,2781.0,0.0,13293.0,5649.0,26683.0,1886195.0,1.0,150.0,22406.0,89.0,2.0,5357968.0,43.0,275.0,0.0,24.0,3336.0
1,23,50,3,7,214,7,101,36,145,1,9,0,7,648702.0,3487.0,2.0,3003151.0,4.0,31.0,892608.0,3.0,205252.0,2712.0,21.0,5801.0,4673.0,100846.0,772935.0,1.0,91.0,35318.0,92.0,18.0,5841857.0,109.0,275.0,14.0,24.0,1644.0
0,0,74,5,5,2419,28,63,14,202,0,7,0,5,1962419.0,5114.0,2.0,1958211.0,10.0,1207.0,2867628.0,3.0,234100.0,1530.0,23.0,786.0,9869.0,77236.0,336356.0,2.0,70.0,90721.0,77.0,26.0,1068665.0,43.0,275.0,9.0,24.0,3218.0
0,-9999,58,10,5,12614,41,1,5,41,-9999,1,-9999,5,221151.0,4092.0,2.0,3862048.0,2.0,31.0,7182600.0,8.0,138719.0,2065.0,9.0,9620.0,11888.0,64677.0,1186697.0,3.0,305.0,4037.0,2.0,18.0,67705.0,109.0,1769.0,0.0,94.0,4753.0
1,4,-1,-9999,-9999,69,0,16,38,204,1,8,0,-9999,134261.0,3422.0,2.0,3290761.0,13.0,31.0,364703.0,9.0,160406.0,2220.0,23.0,7870.0,12083.0,0.0,2298127.0,0.0,389.0,81089.0,0.0,2.0,2909612.0,43.0,0.0,0.0,71.0,1062.0
0,2,1581,-9999,0,1206,33,10,10,13,1,3,0,2,1549016.0,2512.0,2.0,2079066.0,5.0,31.0,599578.0,9.0,257007.0,1156.0,21.0,13653.0,1420.0,0.0,4504818.0,0.0,148.0,19139.0,0.0,7.0,6223631.0,43.0,0.0,14.0,8.0,2614.0
1,2,12,18,0,1533,63,6,8,31,0,1,-9999,5,2071180.0,4205.0,2.0,1086646.0,10.0,31.0,5376340.0,9.0,141834.0,701.0,10.0,5794.0,11831.0,14740.0,3917740.0,3.0,210.0,23347.0,65.0,18.0,4781471.0,43.0,1725.0,0.0,80.0,5644.0
0,-9999,0,11,15,13789,21,7,15,51,-9999,2,-9999,15,2189291.0,1959.0,2.0,5691568.0,2.0,31.0,425374.0,0.0,26164.0,16.0,0.0,4836.0,4807.0,78262.0,4723371.0,3.0,27.0,21414.0,89.0,18.0,6850841.0,43.0,1883.0,0.0,24.0,5004.0
1,4,6,9,9,299,39,11,47,97,1,5,2,9,357366.0,854.0,2.0,3479589.0,2.0,629.0,9185692.0,3.0,200219.0,1519.0,21.0,13210.0,12434.0,0.0,3760247.0,0.0,155.0,89591.0,0.0,18.0,3142635.0,43.0,0.0,0.0,202.0,2305.0
0,-9999,34,3,3,4669,3,5,3,4,-9999,2,-9999,3,1811155.0,4976.0,2.0,2837848.0,13.0,31.0,8866511.0,4.0,93031.0,386.0,23.0,13501.0,6591.0,65237.0,2872426.0,3.0,145.0,28455.0,27.0,2.0,4486300.0,43.0,275.0,0.0,92.0,3696.0
0,-9999,3,16,16,30343,322,1,27,266,-9999,1,-9999,16,26601.0,3201.0,2.0,1677713.0,11.0,629.0,8826651.0,8.0,153703.0,2842.0,2.0,9619.0,7991.0,0.0,2114343.0,0.0,477.0,30846.0,0.0,18.0,877056.0,43.0,0.0,0.0,24.0,4264.0
0,-9999,0,18,1,10015,283,1,1,41,-9999,1,-9999,1,0.0,1889.0,2.0,0.0,2.0,31.0,0.0,8.0,0.0,2661.0,10.0,13264.0,7309.0,48970.0,0.0,1.0,132.0,21414.0,1.0,4.0,0.0,61.0,275.0,0.0,228.0,4305.0
0,0,0,7,-9999,9119,343,3,1,58,0,2,-9999,-9999,1517627.0,2743.0,2.0,2020497.0,2.0,31.0,8536219.0,0.0,71047.0,36.0,0.0,10692.0,4685.0,40927.0,1174370.0,2.0,185.0,47997.0,1.0,0.0,447259.0,43.0,275.0,0.0,228.0,3120.0
1,17,623,15,5,0,0,75,15,64,3,8,0,0,11706.0,5114.0,2.0,8306826.0,10.0,629.0,9866785.0,6.0,180576.0,2718.0,10.0,12367.0,1445.0,39668.0,1555443.0,3.0,70.0,11903.0,77.0,18.0,3673597.0,43.0,1072.0,14.0,202.0,343.0
0,0,3,29,12,2247,58,13,44,75,0,2,-9999,12,294372.0,3355.0,2.0,2320809.0,13.0,31.0,1358570.0,9.0,270264.0,2468.0,23.0,5032.0,6732.0,4063.0,537456.0,1.0,460.0,21414.0,1.0,2.0,4338212.0,109.0,275.0,0.0,228.0,1220.0
0,0,7,-9999,-9999,8792,858,5,0,317,0,1,-9999,-9999,1376771.0,599.0,2.0,5142156.0,2.0,31.0,7776991.0,9.0,159048.0,735.0,10.0,1681.0,11729.0,0.0,1764395.0,0.0,330.0,38630.0,0.0,18.0,6586700.0,109.0,0.0,14.0,24.0,1878.0
0,14,-1,-9999,-9999,283,3,70,35,314,1,7,-9999,-9999,1256562.0,3788.0,2.0,6451275.0,2.0,788.0,8133471.0,3.0,181018.0,3153.0,10.0,5244.0,10680.0,0.0,2543232.0,0.0,130.0,67973.0,0.0,4.0,4118965.0,43.0,0.0,0.0,24.0,790.0
1,-9999,-1,5,3,14637,-9999,0,3,67,-9999,0,-9999,3,2185547.0,2407.0,2.0,5949284.0,10.0,539.0,3437229.0,9.0,78317.0,1829.0,23.0,14504.0,2656.0,136620.0,4801088.0,1.0,91.0,41122.0,92.0,4.0,1233424.0,43.0,275.0,0.0,24.0,617.0
1,-9999,2,144,15,26206,148,2,46,53,-9999,1,-9999,50,1157105.0,3325.0,2.0,6398399.0,2.0,208.0,3931880.0,0.0,189412.0,1492.0,10.0,4645.0,6162.0,35785.0,2188008.0,1.0,11.0,55788.0,92.0,4.0,2367000.0,43.0,275.0,0.0,24.0,1942.0
1,-9999,4,-9999,5,26029,-9999,-9999,2,-9999,-9999,-9999,-9999,26,699031.0,3605.0,2.0,216454.0,13.0,629.0,8342726.0,9.0,108233.0,1479.0,10.0,2578.0,7042.0,135448.0,5195241.0,2.0,317.0,20687.0,15.0,2.0,2035653.0,43.0,275.0,12.0,228.0,1445.0
0,1,4,177,45,123,170,1,25,46,1,1,-9999,46,1513766.0,2934.0,2.0,7616311.0,13.0,629.0,141058.0,8.0,278701.0,2254.0,21.0,1525.0,4799.0,0.0,2794056.0,0.0,23.0,53400.0,0.0,2.0,221495.0,43.0,0.0,0.0,8.0,796.0
0,15,2,24,18,20,21,57,45,142,1,5,0,18,903641.0,2445.0,2.0,4932009.0,13.0,31.0,8985121.0,9.0,81373.0,1479.0,23.0,12684.0,8414.0,28608.0,460837.0,2.0,341.0,50031.0,15.0,18.0,6906755.0,109.0,953.0,0.0,228.0,1445.0
1,-9999,211,19,1,4,-9999,0,1,1,-9999,0,-9999,1,1557973.0,1889.0,2.0,5525721.0,2.0,539.0,5220495.0,9.0,192830.0,2971.0,10.0,13264.0,10666.0,95116.0,2444974.0,1.0,132.0,25129.0,1.0,4.0,969509.0,189.0,275.0,0.0,80.0,4316.0
0,0,2,1,-9999,2096,0,35,0,11,0,6,0,-9999,1063586.0,1978.0,2.0,5869424.0,2.0,31.0,6724065.0,3.0,176143.0,1156.0,21.0,12494.0,3197.0,113442.0,3034691.0,2.0,306.0,11992.0,95.0,0.0,329217.0,43.0,275.0,12.0,228.0,2614.0
1,0,37,-9999,1,3219,148,17,11,29,0,5,-9999,1,160614.0,4657.0,2.0,7067180.0,2.0,31.0,2025874.0,9.0,179236.0,1701.0,0.0,12710.0,10786.0,0.0,462919.0,0.0,524.0,73757.0,0.0,2.0,1426756.0,109.0,0.0,0.0,24.0,1649.0
0,-9999,1,5,-9999,38685,203,1,0,45,-9999,1,-9999,-9999,560292.0,3822.0,2.0,3203517.0,2.0,820.0,4409722.0,8.0,75550.0,1799.0,23.0,5019.0,134.0,64076.0,4291837.0,1.0,553.0,31230.0,92.0,4.0,2666301.0,43.0,275.0,0.0,80.0,5009.0
1,0,5,3,3,4190,25,19,11,107,0,6,-9999,3,1516402.0,2803.0,2.0,6829971.0,13.0,1238.0,6810363.0,9.0,133166.0,1618.0,21.0,7305.0,5070.0,0.0,4541355.0,0.0,221.0,40862.0,0.0,13.0,1148322.0,43.0,0.0,0.0,228.0,5485.0
0,-9999,-1,-9999,-9999,8794,-9999,0,1,1,-9999,0,0,-9999,1827782.0,2237.0,2.0,1338976.0,3.0,788.0,920741.0,9.0,4797.0,74.0,2.0,12431.0,10221.0,0.0,4059831.0,0.0,87.0,14947.0,0.0,18.0,62300.0,287.0,0.0,0.0,24.0,5223.0
0,-9999,3,1,2,236,40,0,13,13,-9999,0,-9999,2,0.0,4591.0,2.0,0.0,2.0,31.0,0.0,4.0,0.0,125.0,2.0,13016.0,1555.0,0.0,0.0,0.0,227.0,87459.0,0.0,2.0,0.0,109.0,0.0,0.0,24.0,5236.0
0,3,0,4,4,227,6,4,6,6,1,2,-9999,4,1985223.0,4205.0,2.0,8255602.0,10.0,629.0,5145081.0,9.0,71047.0,1049.0,10.0,5794.0,331.0,40927.0,4539890.0,3.0,210.0,54904.0,65.0,18.0,2778497.0,92.0,2031.0,0.0,24.0,668.0
1,0,0,-9999,2,2988,84,4,7,126,0,4,-9999,3,874991.0,3822.0,2.0,4253413.0,2.0,391.0,7264018.0,9.0,242639.0,1829.0,0.0,12940.0,2656.0,115606.0,2124618.0,1.0,553.0,75230.0,92.0,2.0,6441451.0,109.0,275.0,0.0,228.0,617.0
1,-9999,6,-9999,1,3941,39,6,34,46,-9999,4,-9999,1,1686957.0,3427.0,2.0,4605681.0,2.0,1387.0,7107934.0,9.0,178125.0,2087.0,10.0,11097.0,12105.0,121381.0,337643.0,1.0,185.0,18939.0,1.0,18.0,2397184.0,43.0,380.0,0.0,24.0,5193.0
0,-9999,1,58,4,11374,127,2,11,12,-9999,1,-9999,7,995497.0,3969.0,2.0,7019795.0,3.0,629.0,657183.0,8.0,113443.0,2534.0,23.0,9102.0,10271.0,26342.0,1608268.0,2.0,136.0,21414.0,76.0,22.0,3059302.0,92.0,275.0,0.0,24.0,5244.0
0,0,7,-9999,1,2862,797,2,36,448,0,1,0,3,134261.0,2455.0,2.0,4818700.0,2.0,629.0,8865344.0,4.0,160406.0,2362.0,21.0,722.0,11132.0,0.0,2298127.0,0.0,389.0,21414.0,0.0,20.0,5996562.0,109.0,0.0,12.0,24.0,579.0
0,-9999,7,2,6,1707,19,44,9,92,-9999,3,-9999,9,1474422.0,1616.0,2.0,5384047.0,5.0,31.0,6797984.0,9.0,282104.0,1475.0,21.0,5811.0,3122.0,95116.0,1257831.0,3.0,151.0,21148.0,95.0,2.0,4693915.0,43.0,275.0,0.0,24.0,2570.0
1,0,0,-9999,-9999,1539,1,2,0,0,0,2,-9999,-9999,612862.0,541.0,2.0,4518840.0,3.0,629.0,9862363.0,0.0,250459.0,210.0,2.0,604.0,9664.0,0.0,2945480.0,0.0,580.0,33451.0,0.0,9.0,4396079.0,109.0,0.0,0.0,228.0,2750.0
0,0,2,6,35,2001,399,1,32,196,0,1,-9999,37,2111692.0,4062.0,2.0,5680628.0,4.0,539.0,5751124.0,9.0,215552.0,1061.0,10.0,11248.0,7676.0,0.0,3985801.0,0.0,23.0,91707.0,0.0,18.0,114554.0,92.0,0.0,14.0,24.0,4711.0
0,-9999,449,3,3,17136,68,3,9,68,-9999,1,-9999,3,1111159.0,2657.0,2.0,1646714.0,2.0,31.0,4642372.0,0.0,164481.0,213.0,9.0,4593.0,3958.0,35896.0,4209827.0,2.0,341.0,21414.0,15.0,2.0,6838096.0,43.0,58.0,0.0,24.0,1206.0
0,0,6,1,2,3072,74,7,5,6,0,1,-9999,2,0.0,4193.0,2.0,0.0,2.0,539.0,0.0,9.0,0.0,1946.0,2.0,7042.0,8490.0,0.0,0.0,0.0,130.0,21414.0,0.0,18.0,0.0,43.0,0.0,0.0,24.0,2967.0
1,6,10,7,3,64,8,6,8,8,1,1,1,4,1713058.0,4122.0,2.0,1741765.0,10.0,893.0,6968511.0,4.0,65598.0,675.0,21.0,10430.0,10712.0,95202.0,3893861.0,1.0,302.0,36106.0,1.0,4.0,1081416.0,43.0,275.0,14.0,390.0,5107.0
0,-9999,4,4,2,8533,-9999,0,5,199,-9999,0,-9999,2,2093219.0,4788.0,0.0,335397.0,2.0,31.0,8751776.0,5.0,24039.0,2209.0,21.0,4658.0,3154.0,83815.0,1672479.0,1.0,265.0,21414.0,92.0,18.0,3576194.0,109.0,275.0,0.0,24.0,3252.0
0,-9999,1,34,-9999,18807,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,1876804.0,3325.0,2.0,1121726.0,2.0,31.0,3484540.0,1.0,211855.0,2313.0,21.0,4645.0,92.0,95116.0,3395199.0,1.0,11.0,39024.0,92.0,4.0,3265031.0,92.0,275.0,0.0,80.0,5059.0
0,0,193,47,11,2204,115,1,34,37,0,1,-9999,11,773237.0,4165.0,2.0,2546257.0,2.0,31.0,9597994.0,8.0,161785.0,2670.0,10.0,5416.0,8326.0,46954.0,1903143.0,3.0,185.0,17882.0,1.0,2.0,5337536.0,109.0,275.0,14.0,130.0,2902.0
0,0,36,37,5,171,411,1,19,655,0,1,-9999,8,165965.0,2172.0,2.0,618290.0,11.0,629.0,4663933.0,0.0,77501.0,2802.0,10.0,3495.0,8144.0,111644.0,3972067.0,3.0,96.0,21414.0,15.0,2.0,6767931.0,43.0,712.0,14.0,24.0,420.0
0,1,8,3,-9999,1319,8,29,8,149,0,6,-9999,-9999,530659.0,4207.0,2.0,7606669.0,4.0,228.0,5767805.0,9.0,179507.0,798.0,10.0,4834.0,11725.0,75719.0,2599821.0,2.0,472.0,47256.0,92.0,2.0,40848.0,43.0,377.0,0.0,24.0,3439.0
0,-9999,0,6,-9999,380,-9999,0,1,0,-9999,0,-9999,-9999,1903576.0,3325.0,2.0,5332218.0,2.0,31.0,9999747.0,1.0,211576.0,2129.0,23.0,9840.0,4954.0,112333.0,3379852.0,1.0,11.0,74367.0,92.0,2.0,6003655.0,92.0,275.0,0.0,24.0,1455.0
1,0,55,51,8,1493,73,2,49,59,0,1,-9999,9,824055.0,1616.0,2.0,720502.0,4.0,31.0,7919858.0,0.0,206025.0,113.0,21.0,5811.0,10610.0,84977.0,4335407.0,1.0,151.0,93103.0,95.0,2.0,816487.0,60.0,275.0,12.0,215.0,3852.0
1,0,5,-9999,-9999,10474,926,1,10,238,0,1,-9999,-9999,0.0,3728.0,2.0,0.0,3.0,31.0,0.0,0.0,0.0,2802.0,10.0,1330.0,2512.0,0.0,0.0,0.0,509.0,21414.0,0.0,9.0,0.0,43.0,0.0,0.0,24.0,420.0
0,1,-1,-9999,14,1,2,18,15,69,1,5,29,2,1382424.0,3605.0,2.0,1968290.0,14.0,31.0,6247615.0,6.0,26597.0,1259.0,23.0,12097.0,3494.0,41798.0,297151.0,3.0,317.0,21414.0,15.0,4.0,3252264.0,43.0,275.0,0.0,228.0,3712.0
0,-9999,76,2,2,655,46,16,7,56,-9999,2,0,2,165965.0,3499.0,2.0,6915208.0,4.0,1066.0,5466401.0,9.0,77501.0,465.0,23.0,12198.0,11923.0,111644.0,2733200.0,3.0,541.0,39861.0,7.0,2.0,2788890.0,43.0,237.0,12.0,24.0,919.0
0,-9999,578,4,9,1746,-9999,0,39,65,-9999,0,-9999,9,856142.0,4305.0,2.0,6301054.0,11.0,31.0,3360855.0,5.0,78224.0,1288.0,23.0,6349.0,1699.0,115606.0,87739.0,1.0,120.0,21414.0,2.0,2.0,5097025.0,43.0,275.0,14.0,414.0,4206.0
0,1,3,9,3,1023,160,1,37,34,1,1,-9999,3,1414247.0,1889.0,2.0,3656336.0,3.0,629.0,920684.0,8.0,169006.0,2955.0,10.0,3928.0,7644.0,95116.0,98848.0,1.0,132.0,36027.0,1.0,18.0,1460252.0,43.0,275.0,0.0,24.0,3739.0
0,19,179,12,9,1,0,98,21,155,2,6,0,0,357366.0,854.0,2.0,3479589.0,2.0,31.0,876901.0,9.0,200219.0,341.0,23.0,13210.0,1157.0,0.0,3760247.0,0.0,155.0,1464.0,0.0,18.0,3142635.0,43.0,0.0,0.0,24.0,205.0
0,1,0,4,15,335,31,13,32,114,1,5,-9999,15,1601923.0,3626.0,2.0,3532685.0,3.0,336.0,1463856.0,9.0,106104.0,873.0,10.0,5701.0,11938.0,99706.0,165075.0,1.0,532.0,21414.0,15.0,2.0,3160385.0,61.0,275.0,0.0,130.0,1569.0
0,0,0,53,-9999,4491,183,3,0,23,0,1,-9999,-9999,1526606.0,5522.0,2.0,1943126.0,13.0,629.0,1885777.0,9.0,193835.0,1613.0,23.0,651.0,10703.0,114535.0,625613.0,3.0,74.0,11474.0,1.0,2.0,3399201.0,285.0,275.0,0.0,80.0,2263.0
0,0,9,3,3,3074,27,2,3,22,0,1,0,3,357366.0,854.0,2.0,3479589.0,3.0,1207.0,87686.0,3.0,200219.0,1976.0,23.0,13210.0,10738.0,0.0,3760247.0,0.0,155.0,91658.0,0.0,18.0,3142635.0,43.0,0.0,0.0,24.0,1478.0
0,2,0,12,3,289,16,3,29,78,1,2,-9999,15,1844932.0,2657.0,2.0,852737.0,2.0,629.0,4598750.0,4.0,30083.0,611.0,10.0,4593.0,7856.0,35447.0,2487648.0,3.0,341.0,21414.0,15.0,2.0,6871157.0,43.0,275.0,12.0,24.0,524.0
1,-9999,-1,-9999,-9999,2596,1,17,0,2,-9999,3,-9999,-9999,912815.0,4381.0,2.0,5294666.0,3.0,31.0,5791801.0,9.0,200219.0,1156.0,21.0,13329.0,1420.0,0.0,5305344.0,0.0,130.0,90915.0,0.0,2.0,6713292.0,43.0,0.0,14.0,24.0,2614.0
0,-9999,1,166,5,236,-9999,0,28,96,-9999,0,-9999,27,471245.0,2970.0,2.0,6619521.0,11.0,31.0,1052463.0,5.0,71047.0,3136.0,21.0,2902.0,7020.0,40927.0,1642982.0,2.0,91.0,21414.0,92.0,4.0,1146587.0,43.0,275.0,0.0,24.0,2092.0
1,-9999,4,18,7,5516,54,5,7,23,-9999,1,-9999,7,140720.0,1295.0,2.0,2395217.0,2.0,539.0,8669512.0,9.0,115685.0,2777.0,0.0,13477.0,703.0,82479.0,863699.0,3.0,253.0,81624.0,25.0,18.0,6244437.0,43.0,275.0,0.0,130.0,4050.0
0,1,281,8,3,191,15,37,17,234,1,5,0,3,1182340.0,1959.0,2.0,2616677.0,3.0,31.0,10013541.0,6.0,82010.0,1614.0,10.0,4836.0,456.0,129033.0,2214363.0,3.0,27.0,33248.0,89.0,18.0,4277470.0,92.0,275.0,0.0,24.0,2783.0
0,-9999,11,2,3,10054,128,12,8,176,-9999,7,0,3,808512.0,2436.0,2.0,1181629.0,4.0,31.0,7042778.0,4.0,248997.0,2251.0,23.0,14471.0,7865.0,0.0,5224103.0,0.0,12.0,21414.0,0.0,2.0,2175138.0,109.0,0.0,0.0,24.0,1406.0
1,-9999,29,-9999,-9999,10988,107,1,5,65,-9999,1,-9999,-9999,496418.0,423.0,2.0,8255282.0,12.0,629.0,3611766.0,0.0,200234.0,282.0,23.0,2893.0,1537.0,0.0,3970298.0,0.0,449.0,27351.0,0.0,17.0,3245209.0,109.0,0.0,0.0,24.0,4463.0
1,2,1,-9999,1,0,0,3,1,1,1,2,-9999,0,2143590.0,2989.0,2.0,952114.0,2.0,31.0,4288167.0,0.0,200219.0,1573.0,23.0,12488.0,9440.0,0.0,4839487.0,0.0,84.0,56257.0,0.0,18.0,2541561.0,69.0,0.0,0.0,24.0,2476.0
1,3,0,0,3,1,1,7,4,56,1,3,-9999,1,2146066.0,87.0,2.0,6038072.0,2.0,629.0,6871577.0,9.0,221741.0,900.0,10.0,2078.0,7600.0,0.0,3939908.0,0.0,560.0,13162.0,0.0,2.0,238390.0,69.0,0.0,0.0,24.0,2857.0
0,-9999,3,4,8,17426,-9999,0,35,19,-9999,0,-9999,8,1370773.0,5034.0,2.0,5486722.0,11.0,539.0,6550536.0,5.0,161785.0,621.0,10.0,3196.0,5738.0,0.0,2881891.0,0.0,102.0,21414.0,0.0,18.0,6045070.0,109.0,0.0,0.0,24.0,387.0
0,-9999,181,-9999,3,4000,18,87,14,158,-9999,4,-9999,3,1430376.0,3605.0,2.0,3439333.0,4.0,31.0,8067750.0,9.0,100124.0,277.0,10.0,2578.0,6.0,63771.0,3488700.0,2.0,317.0,45434.0,15.0,2.0,6400585.0,56.0,275.0,0.0,228.0,399.0
1,1,0,3,10,188,13,1,45,73,1,1,-9999,10,873202.0,1774.0,2.0,587271.0,2.0,629.0,64196.0,9.0,249505.0,675.0,21.0,14657.0,5538.0,108464.0,2007379.0,2.0,132.0,36106.0,1.0,2.0,5282197.0,43.0,275.0,0.0,130.0,5107.0
0,0,1,67,17,2941,74,2,20,45,0,1,-9999,18,560292.0,3822.0,2.0,3203517.0,2.0,31.0,4409722.0,9.0,75550.0,2780.0,21.0,13514.0,2293.0,64076.0,4291837.0,1.0,553.0,60978.0,92.0,18.0,2666301.0,109.0,275.0,0.0,24.0,811.0
